,Title,Topic,Date,File Link,download_loc
0,"Correspondence from Dame Bernadette Kelly DCB, Permanent Secretary, Department for Transport, re Active Travel in England, dated 28 July 2023",Inquiry Active travel in England,Published 19 July 2023,https://committees.parliament.uk/publications/40967/documents/199537/default/,"Correspondence from Dame Bernadette Kelly DCB, PerPublished 19 July 2023"
1,"Correspondence from Sarah Healey CB CV, Permanent Secretary, Department for Levelling Up, Housing and Communities, re question raised at the recent Committee Hearing on Supported Housing, dated 3 July 2023",Inquiry Supported housing,Published 11 July 2023,https://committees.parliament.uk/publications/40826/documents/198913/default/,"Correspondence from Sarah Healey CB CV, Permanent Published 11 July 2023"
2,"Correspondence from Tim Hollingsworth, Chief Executive, Sport England, re report on ‘Grassroots participation in sport and physical activity update’, dated 30 June 2023",,Published 11 July 2023,https://committees.parliament.uk/publications/40825/documents/198910/default/,"Correspondence from Tim Hollingsworth, Chief ExecuPublished 11 July 2023"
3,"Correspondence from Alex Chisholm, Civil Service Chief Operating Officer and Cabinet Office Permanent Secretary, re Publication of 2022 Civil Service People Survey Demographic Results, dated 29 June 2023",,Published 11 July 2023,https://committees.parliament.uk/publications/40822/documents/198903/default/,"Correspondence from Alex Chisholm, Civil Service CPublished 11 July 2023"
4,"Correspondence from James Armstrong, Managing Partner, Bluefield Partners LLP, re Bluefield Partners LLP submission to Public Accounts Committee inquiry, dated 28 June 2023",Inquiry Decarbonising the power sector,Published 11 July 2023,https://committees.parliament.uk/publications/40821/documents/198901/default/,"Correspondence from James Armstrong, Managing PartPublished 11 July 2023"
5,"Correspondence from Peter Schofield CB, Permanent Secretary, Department for Work and Pensions, re Fraud and Error Target, dated 6 July 2023",,Published 11 July 2023,https://committees.parliament.uk/publications/40820/documents/198899/default/,"Correspondence from Peter Schofield CB, Permanent Published 11 July 2023"
6,"Correspondence from Daisy Cross, Head of Future, Retail Markets, Energy UK, re Follow-up from PAC Committee session on ‘The rollout of smart meters’, dated 6 July 2023",Inquiry Update on the rollout of smart meters,Published 11 July 2023,https://committees.parliament.uk/publications/40818/documents/198897/default/,"Correspondence from Daisy Cross, Head of Future, RPublished 11 July 2023"
7,"Correspondence from William Wragg MP, Public Administration and Constitutional Affairs Committee, re Public Accounts Committee – Report on the AEA Technology Pension Case, dated 4 July 2023",Inquiry AEA Technology Pension Case,Published 11 July 2023,https://committees.parliament.uk/publications/40817/documents/198896/default/,"Correspondence from William Wragg MP, Public AdminPublished 11 July 2023"
8,"Correspondence from Sarah Healey, Permanent Secretary for Levelling Up, Housing and Communities, Department for Levelling Up, Housing and Communities, re Simplifying the funding landscape for local authorities, dated 4 July 2023",,Published 11 July 2023,https://committees.parliament.uk/publications/40816/documents/198895/default/,"Correspondence from Sarah Healey, Permanent SecretPublished 11 July 2023"
9,"Correspondence from Jeremy Pocklington CB, Permanent Secretary, Department for Energy Security and Net Zero, re Hydrogen Heating Town Pilot, dated 5 July 2023",,Published 11 July 2023,https://committees.parliament.uk/publications/40815/documents/198893/default/,"Correspondence from Jeremy Pocklington CB, PermanePublished 11 July 2023"
10,"Correspondence from PAC Chair Dame Meg Hillier to Peter Schofield, Permanent Secretary, Department for Work and Pensions, re Accounting Officer Assessment on the Synergy Programme, dated 28 June 2023",,Published 11 July 2023,https://committees.parliament.uk/publications/40813/documents/198891/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 11 July 2023
11,"Correspondence from Dan Brooke, CEO, Smart Energy GB, re Update on the rollout of smart meters, dated 30 June 2023",Inquiry Update on the rollout of smart meters,Published 10 July 2023,https://committees.parliament.uk/publications/40843/documents/198994/default/,"Correspondence from Dan Brooke, CEO, Smart Energy Published 10 July 2023"
12,"Correspondence from Jim Harra, Permanent Secretary and Chief Executive, HM Revenue and Customs to PAC Chair Dame Meg Hillier – re Tax-deductibility of business costs incurred in Making Tax Digital for Income Tax Self-Assessment, dated 29 June 2023",Inquiry Progress with making tax digital,Published 3 July 2023,https://committees.parliament.uk/publications/40725/documents/198431/default/,"Correspondence from Jim Harra, Permanent SecretaryPublished 3 July 2023"
13,"Correspondence from Sir Chris Wormald, Permanent Secretary of the Department of Health and Social Care, re Thirteenth Report of Session 2021-22 - Initial Lessons from the Government, dated 21 June 2023",,Published 3 July 2023,https://committees.parliament.uk/publications/40723/documents/198428/default/,"Correspondence from Sir Chris Wormald, Permanent SPublished 3 July 2023"
14,"Correspondence from John Flint, Chief Executive Officer, UK Infrastructure Bank, re Follow-up: Treasury Minute response – The Creation of the UK Infrastructure Bank 26 June 2023",,Published 3 July 2023,https://committees.parliament.uk/publications/40724/documents/198429/default/,"Correspondence from John Flint, Chief Executive OfPublished 3 July 2023"
15,BBC Response to Public Accounts Committee: BBC Digital Forty-Sixth Report of Session 2022-2,,Published 3 July 2023,https://committees.parliament.uk/publications/40721/documents/198425/default/,BBC Response to Public Accounts Committee: BBC DigPublished 3 July 2023
